2009-12-29 15:12:59 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:12:59 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:13:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:13:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:13:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:13:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:13:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:13:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:14:45 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:14:45 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:14:46 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:14:46 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:14:47 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
